CUTOUT,SEQUENCE_LENGTH,SCORE,IDX
E1_Y1_57,10,0.9822965789296563,5801.0
X3_Y2_62,10,0.9822858419168352,9035.0
E2_Y4_3,10,0.9822769531219379,2222.0
E2_Y2_5,10,0.9822765821499386,1380.0
C3_Y5_9,10,0.9822611272698748,5240.0
E2_Y3_9,10,0.9822488883257092,4654.0
C3_Y4_14,10,0.9822455423395628,8958.0
E2_Y5_23,10,0.9822449946619666,9806.0
C3_Y5_1,10,0.9822437637687746,4049.0
X3_Y2_53,10,0.9822402689037156,3083.0
E2_Y3_52,10,0.9822384049889306,15764.0
C3_Y2_10,10,0.9822362761198277,1090.0
E2_Y1_19,10,0.9822313166874422,5127.0
X3_Y4_51,10,0.9822279711838395,10728.0
E2_Y4_3,10,0.9822251687973224,2218.0
E2_Y3_9,10,0.9822190675341665,4655.0
E2_Y1_19,10,0.9822114019117626,5126.0
C3_Y1_10,10,0.9821900418894264,9773.0
E1_Y1_44,10,0.9821853019103299,12434.0
C3_Y4_28,10,0.9821690152858382,15798.0
C3_Y1_58,10,0.9821646369684865,341.0
E2_Y2_40,10,0.9821636166914111,14956.0
E2_Y2_38,10,0.9821589055419331,480.0
E2_Y4_3,10,0.9821542355695141,2219.0
C3_Y2_37,10,0.9821512630437783,10484.0
C3_Y2_37,10,0.9821499540920524,10490.0
C3_Y1_58,10,0.9821433857644771,344.0
C3_Y4_28,10,0.9821427733408754,15799.0
C3_Y2_37,10,0.9821340742897157,10489.0
E2_Y5_38,10,0.9821283410749121,509.0
X3_Y3_58,10,0.9821092976406255,13105.0
C3_Y2_37,10,0.9821051033427189,10486.0
C3_Y2_37,10,0.9820977459805609,10487.0
E1_Y2_25,10,0.9820956237251449,17569.0
C3_Y2_48,10,0.9820872182686885,4239.0
X3_Y5_57,10,0.9820808651461254,14448.0
C3_Y2_11,10,0.982078805555154,17208.0
C3_Y2_37,10,0.9820785247715118,10485.0
C3_Y2_37,10,0.9820686125393511,10488.0
E2_Y2_57,10,0.9820661344884072,5078.0
E2_Y2_5,10,0.9820514453199821,1378.0
X3_Y3_51,10,0.9820381625392564,693.0
E2_Y3_52,10,0.9820368463682989,15763.0
X3_Y2_48,10,0.9820258692095813,461.0
E2_Y1_19,10,0.9820108691505742,5128.0
C3_Y2_18,10,0.9820076105237543,4114.0
C3_Y2_11,10,0.98199915622631,17206.0
E1_Y2_27,10,0.9819952928776633,4090.0
E1_Y2_27,10,0.9819904003390761,4091.0
C3_Y4_28,10,0.9819856703230869,918.0
E1_Y2_53,10,0.981985269111685,7390.0
E2_Y4_1,10,0.9819765268397517,16845.0
E1_Y1_44,10,0.9819753159768525,12433.0
